method,value,type
SEDR,1.2608584802363938,ILISI
SEDR,1.2870667132113507,ILISI
SEDR,1.3843564122249743,ILISI
SEDR,1.3074504154631643,ILISI
SEDR,1.8889229075912604,ILISI
SEDR,1.3267221991400386,ILISI
SEDR,1.2127668052646297,ILISI
SEDR,1.533261259943462,ILISI
SEDR,1.6587266764123167,ILISI
SEDR,1.3902468602775866,ILISI
SEDR,1.2187866726813885,ILISI
SEDR,1.5470670038167165,ILISI
SEDR,1.2817049664130589,ILISI
SEDR,1.5665575070420514,ILISI
SEDR,1.741435014226158,ILISI
SEDR,1.325263586364332,ILISI
SEDR,1.7585011408905136,ILISI
SEDR,1.5359486479973326,ILISI
SEDR,1.1788983274609204,ILISI
SEDR,1.9600956972269472,ILISI
SEDR,1.2425097677475156,ILISI
SEDR,1.7538202830896774,ILISI
SEDR,1.9521979009003922,ILISI
SEDR,1.6678362528698638,ILISI
SEDR,1.9289585827428826,ILISI
SEDR,1.3937591738822321,ILISI
SEDR,1.9870936181875645,ILISI
SEDR,1.5011287527682609,ILISI
SEDR,1.477866638462808,ILISI
SEDR,1.3839358471590113,ILISI
SEDR,1.271323909187587,ILISI
SEDR,1.481301607296739,ILISI
SEDR,1.262455079213748,ILISI
SEDR,1.7579632698660823,ILISI
SEDR,1.3936085188277858,ILISI
SEDR,1.5095921163298656,ILISI
SEDR,1.558862750177393,ILISI
SEDR,1.4979550286391352,ILISI
SEDR,1.491703723509694,ILISI
SEDR,1.4698299058807032,ILISI
SEDR,1.1490856453991107,ILISI
SEDR,1.9129679362965657,ILISI
SEDR,1.372726882437962,ILISI
SEDR,1.2543798328288036,ILISI
SEDR,1.9314240067446815,ILISI
SEDR,1.3123444460652816,ILISI
SEDR,1.587212154927091,ILISI
SEDR,1.860816366031095,ILISI
SEDR,1.6544264888324258,ILISI
SEDR,1.1888745356454682,ILISI
SEDR,1.8691987276800237,ILISI
SEDR,1.5633617527934451,ILISI
SEDR,1.8356441505378223,ILISI
SEDR,1.4219719377926678,ILISI
SEDR,1.3297207822678903,ILISI
SEDR,1.8354383390502258,ILISI
SEDR,1.7033096524529727,ILISI
SEDR,1.9831913822177967,ILISI
SEDR,1.305548338861303,ILISI
SEDR,1.1597704268062266,ILISI
SEDR,1.9934725530415016,ILISI
SEDR,1.6932805875169414,ILISI
SEDR,1.5464512111063564,ILISI
SEDR,1.8569935015311168,ILISI
SEDR,1.6045674005603299,ILISI
SEDR,1.5039853907262155,ILISI
SEDR,1.2275227817692178,ILISI
SEDR,1.9933079070863113,ILISI
SEDR,1.2205263292942414,ILISI
SEDR,1.8775510014291623,ILISI
SEDR,1.2786914186959781,ILISI
SEDR,1.997953287538875,ILISI
SEDR,1.5350126424612953,ILISI
SEDR,1.96330820562294,ILISI
SEDR,1.2660962464044772,ILISI
SEDR,1.6575330757349644,ILISI
SEDR,1.2611831362141732,ILISI
SEDR,1.1923663186584095,ILISI
SEDR,1.9527910620516857,ILISI
SEDR,1.6251069077442906,ILISI
SEDR,1.4703410897772722,ILISI
SEDR,1.5255362260120235,ILISI
SEDR,1.876191897021515,ILISI
SEDR,1.1841592145036022,ILISI
SEDR,1.9424550652642438,ILISI
SEDR,1.9705208613970366,ILISI
SEDR,1.2569421240282794,ILISI
SEDR,1.8738151870355442,ILISI
SEDR,1.6378738019614196,ILISI
SEDR,1.986644443375499,ILISI
SEDR,1.4210311689010053,ILISI
SEDR,1.7017926126213707,ILISI
SEDR,1.9935348673781237,ILISI
SEDR,1.6178301468980638,ILISI
SEDR,1.858931124692961,ILISI
SEDR,1.2483333034305009,ILISI
SEDR,1.4431523135762059,ILISI
SEDR,1.189766284467735,ILISI
SEDR,1.2851229391459085,ILISI
SEDR,1.1562624778552641,ILISI
SEDR,1.3573684811580236,ILISI
SEDR,1.918978817349999,ILISI
SEDR,1.2275682557980212,ILISI
SEDR,1.135608598035409,ILISI
SEDR,1.1593913435674283,ILISI
SEDR,1.293074094249067,ILISI
SEDR,1.8195701775347022,ILISI
SEDR,1.9477113557123316,ILISI
SEDR,1.3763014413683232,ILISI
SEDR,1.2137670153841067,ILISI
SEDR,1.7561882566478386,ILISI
SEDR,1.578618789640651,ILISI
SEDR,1.4208778504079769,ILISI
SEDR,1.9767484343913073,ILISI
SEDR,1.1234947961626796,ILISI
SEDR,1.6687790865864238,ILISI
SEDR,1.564683907140664,ILISI
SEDR,1.7427875102564714,ILISI
SEDR,1.687611365389405,ILISI
SEDR,1.9327041798755726,ILISI
SEDR,1.5629594220493153,ILISI
SEDR,1.456508767882124,ILISI
SEDR,1.98560693881204,ILISI
SEDR,1.4560108491545105,ILISI
SEDR,1.6798888214387144,ILISI
SEDR,1.8508817457382476,ILISI
SEDR,1.685248054010638,ILISI
SEDR,1.5354942058502354,ILISI
SEDR,1.1566808197251042,ILISI
SEDR,1.1808227848139352,ILISI
SEDR,1.5198085786645013,ILISI
SEDR,1.9584851722809797,ILISI
SEDR,1.4226405485203206,ILISI
SEDR,1.9786438768289965,ILISI
SEDR,1.5064183104986926,ILISI
SEDR,1.38713015403952,ILISI
SEDR,1.5230180112468945,ILISI
SEDR,1.9891898821931706,ILISI
SEDR,1.742931013196302,ILISI
SEDR,1.9666793621506482,ILISI
SEDR,1.2332240119117381,ILISI
SEDR,1.4105607379771201,ILISI
SEDR,1.97620032411273,ILISI
SEDR,1.7246097022842337,ILISI
SEDR,1.3887768904878985,ILISI
SEDR,1.4628233652708227,ILISI
SEDR,1.4677856649969725,ILISI
SEDR,1.456803348187879,ILISI
SEDR,1.716011597126925,ILISI
SEDR,1.3761795640506673,ILISI
SEDR,1.5353842798293853,ILISI
SEDR,1.305685779114688,ILISI
SEDR,1.0690916898515122,ILISI
SEDR,1.0568860731984226,ILISI
SEDR,1.5395510434184456,ILISI
SEDR,1.3475533655055407,ILISI
SEDR,1.3790265537287323,ILISI
SEDR,1.500914663494803,ILISI
SEDR,1.5930509398000243,ILISI
SEDR,1.3716982943548772,ILISI
SEDR,1.3257340974739087,ILISI
SEDR,1.5471200958113749,ILISI
SEDR,1.2556176316229628,ILISI
SEDR,1.6727691899491033,ILISI
SEDR,1.9998604568957898,ILISI
SEDR,1.3434998696021567,ILISI
SEDR,1.5280044182356178,ILISI
SEDR,1.5377693404669144,ILISI
SEDR,1.9791994322547541,ILISI
SEDR,1.62086745027627,ILISI
SEDR,1.318937683539212,ILISI
SEDR,1.2080730886927893,ILISI
SEDR,1.1373747029786077,ILISI
SEDR,1.3957288109431782,ILISI
SEDR,1.1803411678505538,ILISI
SEDR,1.986448981551396,ILISI
SEDR,1.5304359318147014,ILISI
SEDR,1.8824097155840769,ILISI
SEDR,1.6267184043036726,ILISI
SEDR,1.5549664702524701,ILISI
SEDR,1.779393437043084,ILISI
SEDR,1.2520884902949254,ILISI
SEDR,1.2254845645634782,ILISI
SEDR,1.233739317355756,ILISI
SEDR,1.4286608462674817,ILISI
SEDR,1.9598729363000587,ILISI
SEDR,1.9386351055066893,ILISI
SEDR,1.8962661346214393,ILISI
SEDR,1.857816327921086,ILISI
SEDR,1.9873923950842052,ILISI
SEDR,1.7235275836042483,ILISI
SEDR,1.8025109875932137,ILISI
SEDR,1.5944657496489316,ILISI
SEDR,1.8970326495409577,ILISI
SEDR,1.3160129862834729,ILISI
SEDR,1.3948533811391846,ILISI
SEDR,1.2087130611477774,ILISI
SEDR,1.5491397472208308,ILISI
SEDR,1.5462157626707826,ILISI
SEDR,1.5341971839993906,ILISI
SEDR,1.972110409582464,ILISI
SEDR,1.2225857752892832,ILISI
SEDR,1.3658898007023599,ILISI
SEDR,1.2246891778713092,ILISI
SEDR,1.562672159079108,ILISI
SEDR,1.4107147237251316,ILISI
SEDR,1.9954196334557919,ILISI
SEDR,1.3524082437951266,ILISI
SEDR,1.4378247789720624,ILISI
SEDR,1.3335694345916098,ILISI
SEDR,1.765350060155536,ILISI
SEDR,1.6557982644899738,ILISI
SEDR,1.0891866662629532,ILISI
SEDR,1.5905035140260764,ILISI
SEDR,1.7774226421849324,ILISI
SEDR,1.5460145704045085,ILISI
SEDR,1.7728798134732293,ILISI
SEDR,1.9459006481006955,ILISI
SEDR,1.0885969752548077,ILISI
SEDR,1.506575905134872,ILISI
SEDR,1.2139664491907107,ILISI
SEDR,1.7903312609152913,ILISI
SEDR,1.2178745739750312,ILISI
SEDR,1.5975387024039722,ILISI
SEDR,1.9897604027707998,ILISI
SEDR,1.93288931383117,ILISI
SEDR,1.4389082909115873,ILISI
SEDR,1.4456536037987338,ILISI
SEDR,1.9424206918033315,ILISI
SEDR,1.655343137914606,ILISI
SEDR,1.9477197778013497,ILISI
SEDR,1.7660447592978128,ILISI
SEDR,1.7026694863911016,ILISI
SEDR,1.8157562699080805,ILISI
SEDR,1.5891411261792863,ILISI
SEDR,1.481117430662364,ILISI
SEDR,1.4467587290491102,ILISI
SEDR,1.9817193397702708,ILISI
SEDR,1.7720575079074052,ILISI
SEDR,1.1588681635028752,ILISI
SEDR,1.427710394123552,ILISI
SEDR,1.3407763374297668,ILISI
SEDR,1.2591954306810418,ILISI
SEDR,1.3201667876799814,ILISI
SEDR,1.4658062813920831,ILISI
SEDR,1.9533668185030066,ILISI
SEDR,1.5887212234819426,ILISI
SEDR,1.7817938033717218,ILISI
SEDR,1.8946218148367822,ILISI
SEDR,1.712138368482547,ILISI
SEDR,1.2306783355948339,ILISI
SEDR,1.4642887921676286,ILISI
SEDR,1.1670175538955787,ILISI
SEDR,1.557735692735419,ILISI
SEDR,1.17985884912544,ILISI
SEDR,1.3707882686559734,ILISI
SEDR,1.7632310474390331,ILISI
SEDR,1.3184207491771156,ILISI
SEDR,1.5443832646706284,ILISI
SEDR,1.1946347949989011,ILISI
SEDR,1.8569747790401288,ILISI
SEDR,1.4394040376077735,ILISI
SEDR,1.9935597589842078,ILISI
SEDR,1.2261624268017857,ILISI
SEDR,1.4592143747080086,ILISI
SEDR,1.7980077141743707,ILISI
SEDR,1.4434193400912803,ILISI
SEDR,1.5199697197248039,ILISI
SEDR,1.9033486701639528,ILISI
SEDR,1.4571326722620717,ILISI
SEDR,1.5906891724696264,ILISI
SEDR,1.9993906390414684,ILISI
SEDR,1.6896598461536292,ILISI
SEDR,1.5259209523209085,ILISI
SEDR,1.706589444535328,ILISI
SEDR,1.3328857353632593,ILISI
SEDR,1.620897353563601,ILISI
SEDR,1.1924528643589511,ILISI
SEDR,1.7035737083007245,ILISI
SEDR,1.9939680176154444,ILISI
SEDR,1.4602567986631554,ILISI
SEDR,1.4176248746202094,ILISI
SEDR,1.3803336219634599,ILISI
SEDR,1.9271203375839046,ILISI
SEDR,1.6911118580181819,ILISI
SEDR,1.237976715256512,ILISI
SEDR,1.3865779464611871,ILISI
SEDR,1.7121978890559435,ILISI
SEDR,1.9656697163267054,ILISI
SEDR,1.5041288340064765,ILISI
SEDR,1.7392196743970876,ILISI
SEDR,1.2015928569391043,ILISI
SEDR,1.9691350363307645,ILISI
SEDR,1.3754418195939215,ILISI
SEDR,1.954277812398928,ILISI
SEDR,1.7299444775877635,ILISI
SEDR,1.4871546627311183,ILISI
SEDR,1.2266852873847451,ILISI
SEDR,1.9000821729286559,ILISI
SEDR,1.142221522979518,ILISI
SEDR,1.9934397559552193,ILISI
SEDR,1.9776342048890294,ILISI
SEDR,1.2782360999287943,ILISI
SEDR,1.999235434335755,ILISI
SEDR,1.470848422825133,ILISI
SEDR,1.2805062944186076,ILISI
SEDR,1.3094683571028038,ILISI
SEDR,1.843333984138108,ILISI
SEDR,1.3163984782803069,ILISI
SEDR,1.472430796517005,ILISI
SEDR,1.4377545350740701,ILISI
SEDR,1.9996436079396114,ILISI
SEDR,1.881400608510731,ILISI
SEDR,1.7300895692792755,ILISI
SEDR,1.1910075147055965,ILISI
SEDR,1.7515175940254442,ILISI
SEDR,1.3657997691380583,ILISI
SEDR,1.9959227531608819,ILISI
SEDR,1.1059941284307562,ILISI
SEDR,1.9231803927210482,ILISI
SEDR,1.9255400385586658,ILISI
SEDR,1.3924549827395127,ILISI
SEDR,1.2918687014581114,ILISI
SEDR,1.7641347109027816,ILISI
SEDR,1.5754336538833642,ILISI
SEDR,1.1217482934393268,ILISI
SEDR,1.3781725350360694,ILISI
SEDR,1.5638195985584977,ILISI
SEDR,1.4734663235229486,ILISI
SEDR,1.5598346493392858,ILISI
SEDR,1.4264487172923492,ILISI
SEDR,1.668193818403503,ILISI
SEDR,1.2447660475652815,ILISI
SEDR,1.1605821018154157,ILISI
SEDR,1.3400059115420893,ILISI
SEDR,1.9089028374332957,ILISI
SEDR,1.1713988090344218,ILISI
SEDR,1.9450446582357106,ILISI
SEDR,1.371485833287449,ILISI
SEDR,1.2328106082450967,ILISI
SEDR,1.5871392813805962,ILISI
SEDR,1.3226332220152817,ILISI
SEDR,1.2309650489584312,ILISI
SEDR,1.9482377661922656,ILISI
SEDR,1.5674276323710525,ILISI
SEDR,1.998262463029296,ILISI
SEDR,1.4499174296435076,ILISI
SEDR,1.3272574870447649,ILISI
SEDR,1.5810263883839164,ILISI
SEDR,1.2233073068089877,ILISI
SEDR,1.49810442289325,ILISI
SEDR,1.6775975292121452,ILISI
SEDR,1.8452971448680868,ILISI
SEDR,1.9376103161456224,ILISI
SEDR,1.4073666174067039,ILISI
SEDR,1.9997975804354335,ILISI
SEDR,1.963861938238402,ILISI
SEDR,1.487861181977263,ILISI
SEDR,1.9088902108390575,ILISI
SEDR,1.6211930730416622,ILISI
